Post title,Post link,Created date,Impressions,Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Engagement rate
"Wave energy attenuator in underground pipes
#waveenergy #wavepower #pipeline #attenuator
https://lnkd.in/g9Tx-Jd2",https://www.linkedin.com/feed/update/urn:li:activity:7049133686339895296,04/04/2023,11,,2,0.1818181872,3,0,1,0.4545454681
"Walking around the holosurfing prototype, setup shows the holofans and surfboard
#holofan #surfboard #holosurf #holosurfing
https://lnkd.in/gMZe8J4Y",https://www.linkedin.com/feed/update/urn:li:activity:7046595429609717760,03/28/2023,31,,1,0.03225806355,3,0,0,0.09677419066
"Circling the holosurfing setup with 360 degree tour
#holosurf #holosurfing #surfboard #holofan #hydrizon
https://lnkd.in/gvHB4-Sx",https://www.linkedin.com/feed/update/urn:li:activity:7044789607871250432,03/23/2023,53,,3,0.05660377443,3,0,0,0.09433962405
"Oscillating Water Column (OWC) design fitted for a downpipe
#owc #oscillating #waveenergy #wavepower #downpipe
https://lnkd.in/gRxKgHqX",https://www.linkedin.com/feed/update/urn:li:activity:7044031205343707136,03/21/2023,49,,2,0.04081632569,4,0,0,0.1020408198
"Hit the holowaves and go holosurfin'
#holowaves #holosurf #holosurfing #holofan #surfboard 
https://lnkd.in/g7Jb8iXb",https://www.linkedin.com/feed/update/urn:li:activity:7043425396410765312,03/20/2023,35,,2,0.05714285746,4,0,1,0.1714285761
"Developing holosurfing with physical prototype involving holofans and surfboard
#holosurfing #holosurf #surfboard #holofan
https://lnkd.in/gCnYfpYy",https://www.linkedin.com/feed/update/urn:li:activity:7042219198093156352,03/16/2023,45,,1,0.02222222276,3,0,1,0.08888889104
"Holosurfing setup with surfboard moved by motor and holofans projecting waves
#holosurfing #holosurf #surfboard #holofan
https://lnkd.in/gGbEgmNz",https://www.linkedin.com/feed/update/urn:li:activity:7041508955226853376,03/14/2023,41,,2,0.04878048599,3,0,0,0.09756097198
"A design for a wave energy attenuator fitted for a downpipe
#wavepower #waveenergy #attenuator #downpipe
https://lnkd.in/gfruDPqQ",https://www.linkedin.com/feed/update/urn:li:activity:7041200837649436672,03/14/2023,63,,3,0.04761904851,4,0,0,0.09523809701
"Shower stall base with wave power attenuator for generating electricity
#shower #wavepower #waveenergy #attenuator
https://lnkd.in/gsF6hGVz",https://www.linkedin.com/feed/update/urn:li:activity:7040817015967682560,03/12/2023,45,,2,0.04444444552,3,0,2,0.1333333403
"Swell holowaves for holosurfing
#holosurf #holosurfing #holowaves #swell #surfboard 
https://lnkd.in/gbzvHFbi",https://www.linkedin.com/feed/update/urn:li:activity:7039674065116139520,03/09/2023,25,,0,0,3,0,0,0.07999999821
"Holosurfing is the future for hanging ten
#hangten #holosurf #holosurfing #surfboard #holofan
https://lnkd.in/gQEKue9D",https://www.linkedin.com/feed/update/urn:li:activity:7039345751637856256,03/08/2023,23,,1,0.04347826168,4,0,1,0.2173912972
"Your holowave is waiting with this surfboard setup with motor and holofans.
#holowave #holosurf #holosurfing #holofan #surfboard 
https://lnkd.in/gx6DjyYi",https://www.linkedin.com/feed/update/urn:li:activity:7038952321183059968,03/07/2023,26,,1,0.03846153989,5,0,0,0.1923076957
"Caught inside holowaves with holofans and surfboard
#holosurf #holosurfing #holofan #surfboard 
https://lnkd.in/g2_YgKmT",https://www.linkedin.com/feed/update/urn:li:activity:7038617106959003648,03/06/2023,36,,0,0,3,0,1,0.08333333582
"Holosurfing in the morning, its dawn patrol with the holowaves
#holosurfing #holosurf #holowave #holofan #surfboard 
https://lnkd.in/gmZb4nJe",https://www.linkedin.com/feed/update/urn:li:activity:7038217787923734528,03/05/2023,48,,2,0.04166666791,4,0,2,0.1458333284
"Holosurfing setup with holofans behind showing waves and surfboard in front
#holosurfing #holosurf #surfboard #holofan
https://lnkd.in/dEfYSskp",https://www.linkedin.com/feed/update/urn:li:activity:7036831935817523201,03/01/2023,38,,3,0.07894736528,3,0,2,0.184210524
"Wave power attenuator fitted for storm water drain
#wavepower #waveenergy #stormwater #drains #attenuator
https://lnkd.in/gBVh2eHu",https://www.linkedin.com/feed/update/urn:li:activity:7036439415916818432,02/28/2023,72,,4,0.05555555597,4,0,1,0.1111111119
"Lets go holosurfing now: holofans with holowaves synched with surfboard movements.
#holosurf #holosurfing #holowaves #surfboard 
https://lnkd.in/gJwG-VGx",https://www.linkedin.com/feed/update/urn:li:activity:7036083436121448448,02/27/2023,40,,3,0.07500000298,3,0,1,0.150000006
"Synching the holofan waves with the surfboard moves for holosurfing
#holofan #holowave #holosurf #holosurfing #surfboard 
https://lnkd.in/gfR5Zq2n",https://www.linkedin.com/feed/update/urn:li:activity:7035031377825714176,02/24/2023,42,,2,0.04761904851,3,0,1,0.1190476194
"Surfing the holowaves with surfboard and holofans.
#holosurf #holosurfing #surfboard #holofans #holowaves
https://lnkd.in/gQ35AUpU",https://www.linkedin.com/feed/update/urn:li:activity:7033876155397013504,02/21/2023,36,,1,0.02777777798,4,0,1,0.1388888955
"Outdoor living with wave power. Attenuators for wave energy fitted for swimming pool, hot tub, fountain, downpipe and rooftop gutter.",https://www.linkedin.com/feed/update/urn:li:activity:7033544980270911488,02/20/2023,45,,1,0.02222222276,4,0,1,0.1111111119
"This video shows holosurfing in development
#holosurf #holosurfing #holofan #surfboard 
https://lnkd.in/ggQDnUx9",https://www.linkedin.com/feed/update/urn:li:activity:7033165792653316096,02/19/2023,41,,5,0.1219512224,3,0,2,0.2195121944
"Rooftop gutter Oscillating Water Column (OWC)
#rooftop #gutters #owc #oscillating #waveenergy #wavepower ",https://www.linkedin.com/feed/update/urn:li:activity:7032116244564623360,02/16/2023,79,,2,0.02531645633,5,0,1,0.08860759437
"Up close with holosurfing
#holosurf #holosurfing #surfboard #holofan
https://lnkd.in/gqvPhfdY",https://www.linkedin.com/feed/update/urn:li:activity:7031738256232771584,02/15/2023,37,,3,0.08108107746,3,0,0,0.1351351291
"Holosurfing going through prototyping
#holosurfing #holosurf #surfboard #holofan
https://lnkd.in/g_Hbj5VD",https://www.linkedin.com/feed/update/urn:li:activity:7031359237410758656,02/14/2023,72,,5,0.06944444776,5,0,2,0.1527777761
"Holofan system demonstrating wave energy attenuator
#holofan #wavepower #waveenergy #attenuator
https://lnkd.in/gghRsRJP",https://www.linkedin.com/feed/update/urn:li:activity:7025693253899341826,01/30/2023,86,,4,0.04651162773,5,0,1,0.1046511605
"Holo wave power
Wave energy attenuator demonstrated with a holofan array.
#holofan #waveenergy #wavepower #attenuator
https://lnkd.in/ghibufXP",https://www.linkedin.com/feed/update/urn:li:activity:7025355475734958080,01/29/2023,61,,2,0.03278688341,4,0,1,0.09836065769
"Holofans showing wave energy. 3 rows and 3 columns of holofans. Bottom 3 holofans show waves. Middle 3 holofans show attenuator moving from waves. Top 3 holofans show electricity generated from attenuators.
#wavepower #waveenergy #holofan #attenuator #hologram 
https://lnkd.in/gZvPvKPT",https://www.linkedin.com/feed/update/urn:li:activity:7025189895497281537,01/28/2023,65,,3,0.04615384713,4,0,2,0.1230769232
"Wave power attenuator for a waterbed
#wavepower #waveenergy #attenuator #waterbed
https://lnkd.in/gt4pHMvt",https://www.linkedin.com/feed/update/urn:li:activity:7023112781612683264,01/23/2023,90,,8,0.08888889104,3,0,1,0.1222222224
"Oscillating Water Column (OWC) fitted for a bathroom basin for generating electricity
#wavepower #waveenergy #basin #bathrooms ",https://www.linkedin.com/feed/update/urn:li:activity:7013623354586800128,12/27/2022,132,,2,0.0151515156,8,0,0,0.06818182021
"Wave power attenuator fitted for toilet cistern
#wavepower #waveenergy #toilet #cistern #attenuator
https://lnkd.in/gM9d3Y4Q",https://www.linkedin.com/feed/update/urn:li:activity:7012118617437716480,12/23/2022,72,,2,0.02777777798,4,0,1,0.08333333582
"Oscillating Water Columns (OWCs) fitted for the bathroom
#oscillating #owc #waveenergy #wavepower #bathrooms ",https://www.linkedin.com/feed/update/urn:li:activity:7011068380254281728,12/20/2022,68,,0,0,5,0,1,0.07352941483
"Energy capture from a bathtub
#wavepower #waveenergy #bathtub 
https://lnkd.in/gayJBDCH
",https://www.linkedin.com/feed/update/urn:li:activity:7009356949448245248,12/16/2022,90,,3,0.03333333507,5,0,0,0.07777778059
"When cooking with a pot the water moves. This moving water can be used to generate electricity. An Oscillating Water Column (OWC) can be adapted.
#owc #oscillating #pot #wavepower #waveenergy ",https://www.linkedin.com/feed/update/urn:li:activity:7009300617550594048,12/15/2022,69,,0,0,4,0,1,0.05797101557
"Energy is in already moving water
#energy #water 
https://lnkd.in/gsw25mkH",https://www.linkedin.com/feed/update/urn:li:activity:7009046923651297280,12/15/2022,80,,4,0.05000000075,4,0,0,0.08749999851
"Electricity can be extracted from already moving water in the garden. This video shows designs for Wave Energy Converters (WECs) adapted for fishponds and fountains.
#wavepower #waveenergy #ornamental #garden #fishpond #fountain 
https://lnkd.in/gaVF7s6f",https://www.linkedin.com/feed/update/urn:li:activity:7008546163909947392,12/13/2022,47,,2,0.04255319014,4,0,0,0.1063829809
"Kitchen setting Oscillating Water Columns (OWCs)
#kitchen #wavepower #waveenergy #oscillating #owc ",https://www.linkedin.com/feed/update/urn:li:activity:7008243157217812480,12/13/2022,61,,1,0.01639344171,4,0,0,0.06557376683
"Energy can be captured and converted from everyday activities in the kitchen. This video shows a variety of Wave Energy Converter (WEC) designs adapted to harvest sustainable energy from kitchen activities.
#kitchen #sustainableenergy
#wavepower #waveenergy 
https://lnkd.in/gx8U58tv",https://www.linkedin.com/feed/update/urn:li:activity:7008152054485463040,12/12/2022,71,,3,0.04225352034,5,0,1,0.1126760542
"Wave power adaptations for pots on stoves
Different types of Wave Energy Converters (WECs) adapted.
#owc #oscillating #attenuator #wavepower #waveenergy #pots #stove 
https://lnkd.in/gnNFwwAi",https://www.linkedin.com/feed/update/urn:li:activity:7007809185325215744,12/11/2022,57,,2,0.03508771956,4,0,0,0.0877192989
"Wave power on your stove top.
A video showing a design for a pot on a stove with a wave energy attenuator.
#wavepower #waveenergy #stove #pot #attenuator
https://lnkd.in/gzr8yFP5",https://www.linkedin.com/feed/update/urn:li:activity:7007429963775713280,12/10/2022,39,,2,0.05128205195,3,0,0,0.1025641039
"Wave Energy Converters (WECs) adapted for kettles. This video shows designs of kettles with attenuators and Oscillating Water Columns (OWCs).
#waveenergy #wavepower #kettle #attenuator #oscillating #owc 
https://lnkd.in/gTZMDUgh",https://www.linkedin.com/feed/update/urn:li:activity:7007117099739332608,12/09/2022,64,,2,0.03125,4,0,1,0.09375
"Wave energy adapted toilet. Oscillating Water Column (OWC) fitted for a toilet cistern.
#cistern #toilet #oscillating #waveenergy #wavepower #owc 
",https://www.linkedin.com/feed/update/urn:li:activity:7006849240643624960,12/09/2022,47,,2,0.04255319014,3,0,0,0.08510638028
"Adapting Wave Energy Converters (WECs) for water pipes
#waveenergy #wavepower #waterpipe #pipeline 
https://lnkd.in/g3VHqnrC",https://www.linkedin.com/feed/update/urn:li:activity:7006708921390297088,12/08/2022,30,,3,0.1000000015,3,0,0,0.1666666716
"Oscillating Water Columns (OWCs) generate electricity and this video shows adaptations for pots, kettles, kitchens and water pipes.
#oscillating #owc #wavepower #waveenergy #pot #kettle #kitchen #waterpipe 
https://lnkd.in/gnUgzFtx ",https://www.linkedin.com/feed/update/urn:li:activity:7006329471913906176,12/07/2022,50,,2,0.03999999911,4,0,0,0.1000000015
"Kettle adapted with Oscillating Water Column (OWC)
#kettle #oscillating #wavepower #waveenergy ",https://www.linkedin.com/feed/update/urn:li:activity:7006112239854206976,12/07/2022,42,,0,0,3,0,1,0.07142857462
"Wave power attenuator in a kettle
#wavepower #waveenergy #attenuator #kettle 
https://lnkd.in/gjcbjDR3",https://www.linkedin.com/feed/update/urn:li:activity:7005966836156559360,12/06/2022,34,,3,0.08823529631,4,0,0,0.1764705926
"A variety of fish tank designs with Wave Energy Converters (WECs)
#wavepower #waveenergy #fishtank #oscillating #attenuator
https://lnkd.in/gUykYT8H",https://www.linkedin.com/feed/update/urn:li:activity:7005597538019917824,12/05/2022,55,,2,0.03636363521,5,0,1,0.1272727251
"Kitchen sink & dishwasher attenuators and Oscillating Water Columns (OWCs) for kitchen wave energy
#kitchen #kitchensink #dishwasher #attenuator #oscillating #wavepower #waveenergy 
https://lnkd.in/g2hhdiJF",https://www.linkedin.com/feed/update/urn:li:activity:7005248974278311936,12/04/2022,59,,2,0.03389830515,5,0,1,0.1186440662
"Generating electricity from moving water in pipes by adapting wave power attenuators
#attenuator #wavepower #waveenergy #waterpipe 
https://lnkd.in/g428RDjV",https://www.linkedin.com/feed/update/urn:li:activity:7004887213264035840,12/03/2022,46,,2,0.04347826168,4,0,0,0.1086956486
"Wave power in the bathroom
#waveenergy #wavepower #bathroom 
https://lnkd.in/gFbDURcN",https://www.linkedin.com/feed/update/urn:li:activity:7004537936419454976,12/02/2022,47,,2,0.04255319014,3,0,0,0.08510638028
"Attenuators & Oscillating Water Columns (OWCs) for outdoor living
#attenuator #oscillating #owc #outdoorliving #wavepower #waveenergy 
https://lnkd.in/dZ_T-_54",https://www.linkedin.com/feed/update/urn:li:activity:7004169774184198144,12/01/2022,50,,3,0.05999999866,4,0,0,0.1199999973
"Bathroom basin wave power attenuator
#waveenergy #wavepower #bathroom #basin #attenuator
https://lnkd.in/gRtbts6r",https://www.linkedin.com/feed/update/urn:li:activity:7003779667119792128,11/30/2022,57,,3,0.05263157934,3,0,0,0.0877192989
"Kitchen sink wave power with attenuator & Oscillating Water Column
#kitchen #sink #wavepower #waveenergy #attenuator #oscillating
https://lnkd.in/gKYbAqKB",https://www.linkedin.com/feed/update/urn:li:activity:7003438892540452864,11/29/2022,48,,2,0.04166666791,4,0,0,0.1041666642
"Multimeter measuring electricity output from an Oscillating Water Column (OWC) in a dishwasher
#multimeter #oscillating #dishwasher #waveenergy #wavepower
",https://www.linkedin.com/feed/update/urn:li:activity:7003164709944209408,11/29/2022,57,,2,0.03508771956,4,0,1,0.1052631587
"Fountains with Wave Energy Converters (WECs)
Sourcing alternative energy from water moving in human made systems such as fountains. This video shows an Oscillating Water Column (OWC) and an attenuator in fountains.
#sustainableenergy #alternativeenergy #wavepower #waveenergy #oscillating #attenuator #fountain 
https://lnkd.in/g6jFCrat",https://www.linkedin.com/feed/update/urn:li:activity:7003085127010459648,11/28/2022,36,,4,0.1111111119,3,0,0,0.1666666716
"Oscillating Water Column (OWC) producing renewable energy from S bend pipe
#oscillating #wavepower #waveenergy #pipes 
",https://www.linkedin.com/feed/update/urn:li:activity:7002858521100775424,11/28/2022,48,,0,0,3,0,0,0.04166666791
"Dishwasher, fish tank and washing machine renewable energy with Oscillating Water Columns (OWCs)
#dishwasher #fishtank #washingmachine #oscillating #wavepower #waveenergy 
https://lnkd.in/guJ9vZMY ",https://www.linkedin.com/feed/update/urn:li:activity:7002718961570123776,11/27/2022,61,,2,0.03278688341,4,0,0,0.08196721226
"Generating renewable energy in a fish tank with a wave power attenuator.
 #renewableenergy #wavepower #waveenergy #attenuator #fishtank 
https://lnkd.in/gaJYdiNj",https://www.linkedin.com/feed/update/urn:li:activity:7002314822478422016,11/26/2022,47,,3,0.06382978708,3,0,1,0.1276595742
"Generating renewable energy at home with Oscillating Water Columns (OWCs). This video shows OWCs in bathroom basin, bathtub, kitchen sink and laundry tub.
#wavepower #waveenergy #oscillating #bathroom #basin #bathtub #kitchensink #laundrytub
https://lnkd.in/geJmKngz",https://www.linkedin.com/feed/update/urn:li:activity:7001965173234171904,11/25/2022,28,,2,0.07142857462,3,0,0,0.1428571492
"Design for an Oscillating Water Column (OWC) to generate electricity inside a washing machine.
#oscillating #wavepower #waveenergy #washingmachine 
",https://www.linkedin.com/feed/update/urn:li:activity:7001686835500384256,11/24/2022,43,,2,0.04651162773,3,0,2,0.1395348907
"Generating renewable electricity from your outdoor lifestyle.
Wave energy attenuators fitted for fish pond, hot tub and swimming pool.
#wavepower #waveenergy #attenuator #fishpond #hottub #swimmingpool #renewableenergy 
https://lnkd.in/g_fWu9Vn",https://www.linkedin.com/feed/update/urn:li:activity:7001611140841570305,11/24/2022,38,,2,0.05263157934,3,0,1,0.1315789521
"Wave power in a laundry tub with an Oscillating Water Column (OWC)
#wavepower #waveenergy #oscillating #laundry #tub 
",https://www.linkedin.com/feed/update/urn:li:activity:7001317461291651072,11/23/2022,57,,0,0,6,0,1,0.1052631587
"Wave power in a fish tank with an Oscillating Water Column (OWC)
#wavepower #waveenergy #oscillating #owc #fishtank 
https://lnkd.in/gqC-XTta",https://www.linkedin.com/feed/update/urn:li:activity:7001242264794529792,11/23/2022,43,,3,0.06976744533,4,0,1,0.1627907008
"Wave Energy Converters (WECs) in bathroom basin, bathtub and toilet cistern
#wavepower #waveenergy #bathroom #basin #bathtub #toiletcistern
https://lnkd.in/dMbkdvfb",https://www.linkedin.com/feed/update/urn:li:activity:7000884924312399872,11/22/2022,46,,5,0.1086956486,3,0,0,0.1521739066
"Wave energy in a kitchen sink with an Oscillating Water Column (OWC)
#waveenergy #wavepower #oscillating #kitchensink ",https://www.linkedin.com/feed/update/urn:li:activity:7000742081954541568,11/22/2022,40,,1,0.02500000037,3,0,1,0.1000000015
"Wave energy attenuator in laundry tub
#waveenergy #wavepower #attenuator #laundrytub
https://lnkd.in/gK5Wtj5Q",https://www.linkedin.com/feed/update/urn:li:activity:7000533965115719680,11/21/2022,46,,4,0.08695652336,3,0,1,0.1521739066
"Bathtub wave power with an Oscillating Water Column (OWC)
#bathtub #wavepower #waveenergy #oscillating #renewableenergy 
",https://www.linkedin.com/feed/update/urn:li:activity:7000234736145100800,11/20/2022,59,,3,0.05084745586,3,0,1,0.1016949117
"Wave power attenuator in a kitchen sink
#wavepower #waveenergy #kitchensink #attenuator
https://lnkd.in/gT4VMzy9",https://www.linkedin.com/feed/update/urn:li:activity:7000187648355024896,11/20/2022,47,,3,0.06382978708,3,0,0,0.1063829809
